YEAR,MO,DY,T2M_MAX,WS10M,WS50M
2003,6,19,37.17,5.27,7.4
2003,6,20,37.89,3.08,4.27
2003,6,21,36.88,6.16,8.71
2003,6,22,35.37,8.05,10.82
2003,6,23,34.44,8.63,11.48
2003,6,24,35.6,6.97,9.99
2003,6,25,36.12,4.8,6.75
2003,6,26,36.43,2.84,3.73
2003,6,27,35.89,2.24,3.01
2003,6,28,36.81,4.13,5.79
2003,6,29,36.88,5.0,6.57
2003,6,30,37.4,4.11,5.33
2003,7,1,37.15,2.77,3.79
2003,7,2,36.44,4.08,5.16
2003,7,3,36.51,5.87,6.83
2003,7,4,36.71,4.48,5.48
2003,7,5,39.23,5.71,7.23
2003,7,6,38.28,3.47,4.55
2003,7,7,38.89,3.82,4.95
2003,7,8,37.77,4.77,6.02
2003,7,9,37.09,3.6,4.75
2003,7,10,36.44,3.19,4.66
2003,7,11,37.58,3.22,4.53
2003,7,12,37.66,3.88,4.93
2003,7,13,36.66,4.09,5.09
2003,7,14,36.54,5.57,7.62
2003,7,15,37.09,6.05,8.29
2003,7,16,37.56,5.1,6.55
2003,7,17,37.3,3.41,4.35
2003,7,18,37.72,2.69,3.84
2003,7,19,38.31,3.6,4.83
2003,7,20,38.9,4.16,5.91
2003,7,21,39.58,4.09,6.01
2003,7,22,38.48,5.25,7.01
2003,7,23,38.05,3.92,5.32
2003,7,24,36.77,3.55,5.27
2003,7,25,35.45,3.02,4.63
2003,7,26,35.51,2.99,4.66
2003,7,27,37.3,2.73,3.84
2003,7,28,37.88,3.48,4.98
2003,7,29,38.88,2.58,3.84
2003,7,30,38.48,3.73,5.34
2003,7,31,37.81,4.17,5.68
2003,8,1,37.08,5.09,7.05
2003,8,2,36.09,5.16,7.15
2003,8,3,34.65,4.45,6.44
2003,8,4,33.65,4.13,5.71
2003,8,5,34.83,2.79,3.65
2003,8,6,34.16,2.25,2.91
2003,8,7,33.28,4.01,5.52
2003,8,8,30.44,2.99,3.98
2003,8,9,32.83,2.05,2.98
2003,8,10,33.19,1.77,2.66
2003,8,11,33.12,1.97,2.84
2003,8,12,33.83,2.61,3.84
2003,8,13,32.57,2.58,3.52
2003,8,14,33.69,2.1,2.95
2003,8,15,33.81,2.82,3.9
2003,8,16,32.9,3.72,5.26
2003,8,17,32.76,4.26,5.16
2003,8,18,34.52,2.48,3.12
2003,8,19,33.89,3.88,5.12
2003,8,20,34.99,3.39,4.55
2003,8,21,31.76,3.95,5.83
2003,8,22,34.95,5.59,8.27
2003,8,23,36.38,6.39,9.18
2003,8,24,36.29,5.91,7.9
2003,8,25,36.58,4.2,5.66
2003,8,26,36.65,4.19,6.35
2003,8,27,36.73,6.2,9.24
2003,8,28,36.14,6.66,9.67
2003,8,29,34.44,5.87,8.75
2003,8,30,37.06,5.23,7.37
2003,8,31,37.67,4.17,5.8
2003,9,1,35.18,4.06,5.62
2003,9,2,36.76,3.52,4.81
2003,9,3,36.38,3.05,4.22
2003,9,4,36.69,5.12,6.74
2003,9,5,35.41,3.8,5.02
2003,9,6,35.23,4.6,5.94
2003,9,7,35.04,4.39,5.41
2003,9,8,33.98,4.8,6.73
2003,9,9,29.73,5.39,7.1
2003,9,10,29.82,3.91,5.54
2003,9,11,31.48,3.01,5.02
2003,9,12,33.33,4.68,6.85
2003,9,13,31.65,2.85,4.37
2003,9,14,31.48,5.05,6.77
2003,9,15,27.06,5.05,6.68
2003,9,16,24.46,3.86,5.41
2003,9,17,28.41,4.66,6.8
2003,9,18,26.55,6.89,9.38
2003,9,19,29.2,5.13,7.36
2003,9,20,28.87,2.77,4.24
2003,9,21,30.17,2.56,3.65
2003,9,22,27.9,3.74,4.91
2003,9,23,27.1,1.93,2.51
2003,9,24,25.27,2.64,3.33
2003,9,25,26.94,2.67,3.54
2003,9,26,25.95,4.08,5.76
2003,9,27,27.54,2.44,3.6
2003,9,28,29.98,3.88,5.36
2003,9,29,30.4,2.37,3.23
2003,9,30,30.62,7.32,10.05
